seq,ms,time_s,icm_ax_g,icm_ay_g,icm_az_g,icm_gx_dps,icm_gy_dps,icm_gz_dps,adxl_ax_g,adxl_ay_g,adxl_az_g,bmp_temp_c,bmp_press_pa,bmp_alt_m,attitude_valid,q0,q1,q2,q3,roll_deg,pitch_deg,yaw_deg,gyro_bias_x_dps,gyro_bias_y_dps,gyro_bias_z_dps,crc16_recorded,crc16_computed,crc_ok
0,15514,15.514,-0.876,0.129,0.506,-3.01,2.3,-5.19,0.88,-0.05,0.64,28.07,96745,388.44,1,0.707106829,0.0,0.707106829,0.0,180.0,90.0,180.0,-0.54,0.32,-0.66,62273,62273,True
1,15534,15.534,-0.856,0.112,0.5,1.92,-1.64,1.05,0.88,-0.15,0.69,28.07,96745,388.45,1,0.707994223,0.000637926,0.706217945,6.0107e-05,21.48,89.85,21.43,-0.54,0.32,-0.66,35954,35954,True
2,15554,15.554,-0.862,0.124,0.502,0.79,0.34,-0.4,0.83,-0.1,0.69,28.07,96745,388.46,1,0.708679557,0.001002492,0.705529809,9.5884e-05,19.26,89.73,19.19,-0.54,0.32,-0.66,10707,10707,True
3,15574,15.574,-0.86,0.136,0.499,1.21,0.3,-1.89,0.83,-0.05,0.78,28.07,96745,388.48,1,0.709366977,0.001253225,0.704838216,-8.4819e-05,14.52,89.62,14.41,-0.54,0.32,-0.66,37978,37978,True
4,15594,15.594,-0.855,0.122,0.496,-2.17,0.02,-2.81,0.88,-0.15,0.73,28.07,96745,388.52,1,0.710092366,0.000955265,0.70410794,1.8362e-05,9.28,89.51,9.2,-0.54,0.32,-0.66,16878,16878,True
5,15614,15.614,-0.864,0.116,0.494,1.27,-1.58,-0.14,0.83,-0.15,0.73,28.07,96744,388.54,1,0.711014926,0.001407896,0.703175426,2.282e-05,10.4,89.35,10.29,-0.54,0.32,-0.66,16686,16686,True
6,15634,15.634,-0.875,0.131,0.491,-1.91,-2.73,0.95,0.83,-0.05,0.73,28.07,96744,388.59,1,0.712076366,0.001621024,0.70209986,0.00057545,12.46,89.17,12.37,-0.54,0.32,-0.66,12564,12564,True
7,15654,15.654,-0.87,0.126,0.489,0.15,0.21,-0.95,0.88,-0.1,0.69,28.07,96744,388.56,1,0.712778151,0.001850647,0.701386809,0.000633514,12.35,89.06,12.25,-0.54,0.32,-0.66,11569,11569,True
8,15674,15.674,-0.881,0.118,0.493,2.61,-0.67,-0.01,0.83,-0.1,0.73,28.07,96745,388.52,1,0.713588417,0.002488734,0.70056051,0.000494164,12.98,88.92,12.82,-0.54,0.32,-0.66,50346,50346,True
9,15694,15.694,-0.86,0.12,0.494,-0.08,0.11,1.07,0.93,-0.1,0.73,28.07,96745,388.49,1,0.714300811,0.002924287,0.699832261,0.000821238,14.6,88.79,14.43,-0.54,0.32,-0.66,65224,65224,True
10,15714,15.714,-0.86,0.133,0.495,1.5,0.05,-0.43,0.88,-0.1,0.69,28.07,96745,388.52,1,0.715017736,0.00339251,0.699097633,0.00078523,14.81,88.67,14.6,-0.54,0.32,-0.66,64014,64014,True
11,15734,15.734,-0.86,0.106,0.496,0.61,-0.9,-1.18,0.83,-0.15,0.69,28.07,96744,388.53,1,0.715855896,0.003618974,0.698238194,0.000726398,13.97,88.53,13.74,-0.54,0.32,-0.66,36342,36342,True
12,15754,15.754,-0.857,0.129,0.481,0.88,-2.95,1.27,0.88,-0.1,0.69,28.07,96745,388.51,1,0.716938794,0.004217877,0.697122633,0.000978627,14.83,88.34,14.56,-0.54,0.32,-0.66,29592,29592,True
13,15774,15.774,-0.863,0.128,0.493,-0.5,-1.75,-1.47,0.83,-0.2,0.69,28.08,96745,388.48,1,0.717876017,0.004304655,0.696156919,0.001050562,13.98,88.19,13.72,-0.54,0.32,-0.66,59912,59912,True
14,15794,15.794,-0.855,0.131,0.485,0.4,-0.53,-0.35,0.88,-0.05,0.64,28.07,96745,388.49,1,0.71866256,0.00464649,0.695342422,0.001161366,14.13,88.05,13.84,-0.54,0.32,-0.66,33015,33015,True
